id_operacion,id_tipo,id_unidad_resp,id_zona,nombre_operacion,fecha_inicio,fecha_fin,efectivos_desplegados,vehiculos_utilizados,duracion_dias,costo_operacion,resultado,detenidos,area_km2,incidentes,observaciones
804,2,34,20,Op.Guardián/2025,2025/08/19,2025-08-27,(80 efectivos),aprox. 23,aprox. 8,"Bs 69.136,86",aceptable,1,1000 KM2,n/a,"Coordinación con fuerzas
del país vecino"
805,5,22,22,Op. Ceniza #73,06/07/2021,20210729,CIEN,43.,aprox. 23 días,"$us 19,795.49",Bueno,,100.0,aprox. 1,Apoyo con cortafuegos — área afectada extensa
806,2,28,5,Guardián—2021,20/JUN/2021,14/JUL/2021,aprox 120,~9,24,"$us 7,501.28",bueno,2 det.,250,dos,S/N
807,7,49,5,Operación Tunari 2022,18-jun-2022,20220715,300.,NUEVE,27 días,"Bs. 54,967.77",parcialmente logrado,,100 km2,ninguno,Evaluación de capacidades operativas
808,1,45,1,patria 2023,2023-03-06,4/ABR/2023,250,~28,  29  ,"USD 6,925.48",sin dato,aprox. 15,aprox. 500,0 incidentes,"Operación coordinada con
FELCN y Policía Nacional"
809,1,44,16,Operación Patria 2025,18/03/2025,19-mar-2025,+200,+23,(1 día),"Bs 116.878,16",INCOMPLETA,N/A,300 km²,3 inc.,Operación nocturna — visibilidad reducida
810,6,3,7,Operación Integración 2024,26/ABR/2024,21/05/2024,20,7.,~25,47361.16,por evaluar,N/A,50 km2,UNO,Campaña de vacunación — apoyo logístico militar
811,1,50,8,amanecer 2022,13/08/2022,08-28-2022,+100,27.,  15  ,"Bs.130,734",FAVORABLE,  1  ,1000,uno,"Se establecieron puntos de control
en rutas secundarias"
812,3,34,12,Muralla—2025,06/12/2025,2025/12/20,CIEN,aprox. 28,~14,"28,185.98 Bs",En proceso,sin detenidos,  500 km2  ,TRES,Coordinación con Aduana Nacional
813,7,27,21,Operación 'Tunari',"enero 19, 2022",01-26-2022,200,aprox. 33,(7 días),37275,Completada,0,1000 km2,cero,Evaluación de capacidades operativas
814,2,32,11,OPERACIÓN GUARDIÁN 2021,05-27-2021,28/MAY/2021,aprox. 50,aprox. 23,aprox 1,"Bs 136.251,50",resultado positivo,N/A,250 Km2,aprox. 3,"COORDINACIÓN CON FUERZAS
DEL PAÍS VECINO"
815,1,49,2,Libertad—2024,20240427,05-26-2024,aprox 200,21,~29,"Bs.- 24,199.42",sin resultados,8 pers.,50.0,TRES,Patrullaje con apoyo de unidades caninas
816,1,50,8,"Op. ""Amanecer"" #166",06-03-2024,28-06-2024,aprox. 200,29,~25,125172.67,sin éxito,5,250 km²,cinco,"Operación coordinada con
FELCN y Policía Nacional"
817,6,6,9,Op. Desarrollo #66,2022/04/11,02/05/2022,veinte,4,(21 días),"Bs.- 15,070.72",no reportado,,50 Km2,n/a,Ref. Op. 2022-9: Apoyo en festividad 'patronal' del municipio
818,1,50,8,Op Relámpago - 2021/167,24/JUL/2021,18-08-2021,150,14.,25 días,23740 bolivianos,exitosa,1,150,2 inc.,
819,7,35,14,OPERACIÓN TUNARI 2022,2022-06-08,"junio 19, 2022",aprox 200,  36  ,(11 días),"Bs. 147,277.08",incompleta,ninguno,200,n/a,Entrenamiento de supervivencia en selva
820,2,34,11,Operación Patrulla 2023,2/MAR/2023,2023/03/22,aprox. 250,aprox 19,aprox. 20,123374.42,PARCIAL,8,150,1,"Coordinación con fuerzas
del país vecino"
821,2,34,5,Op.Defensa/2023,24/11/2023,2023-12-17,trescientos,aprox. 16,~23,"Bs. 75,009.94",no logrado,cero,aprox. 150 km²,aprox. 2,  Control de 'puntos ciegos' en la frontera  
822,3,40,11,Rastreo (enero 2022),1/OCT/2022,10-29-2022,aprox. 50,+21,28,"Bs.27,539",Satisfactorio,5,800 km2,5 inc.,Operativo en 'ruta del contrabando'
823,1,46,2,Operación Centinela 2022,06-15-2022,07-11-2022,doscientos,15,26,20998,Regular,8 pers.,1000 km2,1 inc.,Patrullaje con apoyo de unidades caninas
824,4,25,13,Op. Rescate #104,2022/03/24,04-15-2022,trescientos,aprox 13,aprox. 22,"Bs.- 145,820.49",no reportado,n/a,200.0,dos,Distribución de ayuda humanitaria
825,7,38,18,Op. Illimani #91,16-11-2022,14-dic-2022,aprox. 200 efectivos,aprox. 8 vehículos,aprox 28,"Bs.146,731",no logrado,ninguno,50 Km2,N/A,"Maniobras de simulación
de combate en terreno montañoso"
826,3,41,12,Op. Blindaje #118,2023/09/22,10-06-2023,50,12,14,"$us 20,223.71",Parcialmente exitoso,8 detenidos,500 KM2,N/A,Mercadería retenida para verificación
827,2,31,14,OPERACIÓN VIGILANCIA 2022,03/03/2022,03-19-2022,100,30.,aprox. 16,32482 bolivianos,favorable,1 det.,300.0,aprox. 8,Control de 'puntos ciegos' en la frontera
828,6,6,9,Puente—2021,21-09-2021,19/10/2021,80 efectivos,cinco,28,BS 36739,FALLIDA,sin detenidos,100 km²,n/a,"Jornada médica y dental
para comunidades rurales"
829,3,34,22,Op. Muralla #119,2022/05/01,20220528,aprox. 250,+11,27,"Bs.- 67,189.24",regular,  2  ,800.0,UNO,Operativo en 'ruta del contrabando'
830,1,48,2,Operación Cóndor Dorado 2021,29/ABR/2021,20210521,50.,(20 vehículos),+22,"Bs. 113,946.33",sin éxito,8 detenidos,aprox. 300,1,Operación nocturna — visibilidad reducida
831,4,11,17,Op Amparo - 2022/105,24/02/2022,02-26-2022,aprox. 200,DIECIOCHO,+2,"Bs. 475,764.74",Logrado,0,200 Km2,CINCO,"Coordinación con Defensa Civil
y municipios afectados"
832,4,25,13,Solidaridad (enero 2025),09/02/2025,"marzo 15, 2025",doscientos,19,aprox. 34,"$us 39,097.19",logrado,0,100 km2,N/A,"Coordinación con Defensa Civil
y municipios afectados"
833,8,48,25,Cooperación Sur (enero 2023),08/06/2023,27/JUN/2023,~200,34,(19 días),"Bs.- 61,446.04",Éxito,sin detenidos,50 KM2,n/a,Observadores internacionales presentes
834,5,22,3,Operación Salvamento Forestal 2024,02-19-2024,24-02-2024,,,,,,,,,
835,2,31,12,Operación Patrulla 2023,17/03/2023,04-01-2023,(100 efectivos),  21  ,QUINCE,"Bs 136.262,35",satisfactorio,0 personas,aprox. 1000 km²,(3),
836,2,25,13,Operación Protección 2023,"agosto 12, 2023",2023/09/07,+80,13 vehículos,aprox. 26,"Bs. 43,046.55",,2 detenidos,aprox. 150 km²,cero,Patrullaje de rutina sin novedades
837,2,31,21,Operación 'Vigilancia',2023-11-19,2023/12/04,100,13,15,88883,En proceso,8 det.,800.0,tres,"Coordinación con fuerzas
del país vecino"
838,2,25,5,Op. Soberanía #20,2025/08/29,"septiembre 21, 2025",DOSCIENTOS,11 vehículos,23.,"$us 14,153.40",EXITOSA,ninguno,150 km2,2 incidentes,"Se detectó movimiento sospechoso
en zona limítrofe"
839,4,12,13,Op.Refugio/2023,31/03/2023,05-06-2023,300,aprox. 36,36,"Bs.- 244,291.19",En proceso,,aprox. 2000,DIEZ,
840,5,12,22,Op.Brasa/2022,"octubre 27, 2022","noviembre 4, 2022",400,+48,OCHO,"$us 63,773.69",Exitoso,NINGUNO,  100 km2  ,  1  ,"Helicópteros utilizados para
monitoreo aéreo del fuego"
841,6,35,20,Op. Unidad #68,03/07/2024,9-jul-2024,50 efectivos,11.,6,Bs 24.992,exitosa,0,10 KM2,0,"Jornada médica y dental
para comunidades rurales"
842,6,43,25,Operación Progreso 2023-69,2023-07-16,18/07/2023,80,aprox 3,DOS,"Bs. 7,594.14",por evaluar,,aprox. 100 km²,n/a,Apoyo en festividad 'patronal' del municipio
843,2,31,22,Operación Centinela 2024-144,19/DIC/2024,2024/12/30,200 efectivos,+25,aprox. 11,144050,FAVORABLE,  2  ,aprox. 100,1,Relevo de personal en posiciones avanzadas
844,2,41,10,Operación 'Guardián',18-11-2025,"diciembre 15, 2025",aprox 100,24,27,33762 bolivianos,COMPLETADA,5 detenidos,  800 km2  ,dos,"Coordinación con fuerzas
del país vecino"
845,5,11,18,Op Extinción - 2023/76,2023/08/12,"septiembre 16, 2023",aprox 400,  32  ,35.,"Bs.- 478,027.32",Objetivo cumplido,0 personas,aprox. 2000 km²,1 incidentes,"  Contención de incendio forestal
en zona protegida  "
846,6,30,8,Operación Puente 2025-70,7-nov-2025,11-28-2025,aprox. 100,(11 vehículos),~21,"Bs 21.049,60",sin dato,Sin detenidos,100,ninguno,"Jornada médica y dental
para comunidades rurales"
847,7,43,8,Op. Puma #92,2023-11-17,02/12/2023,100 efectivos,30,15 días,BS 64109,EN PROCESO,ninguno,50 km2,  2  ,"Maniobras de simulación
de combate en terreno montañoso"
848,7,17,23,Op. Illimani #93,08-17-2022,14-sep-2022,  50  ,38,+28,"Bs.- 60,234.90",En proceso,,aprox. 50,-,Ejercicio de 'guerra no convencional'
849,4,23,22,Operación Protección Civil 2023,22/MAY/2023,2023-06-23,+100,(35 vehículos),aprox. 32,458191,EXITOSA,,1000 KM2,  1  ,Distribución de ayuda humanitaria
850,6,11,13,Operación 'Hermandad',02/10/2022,14/10/2022,50,13.,DOCE,11414,sin resultados,Sin detenidos,aprox. 50 km²,0 incidentes,Campaña de vacunación — apoyo logístico militar
851,4,13,7,Op. Solidaridad #109,01-02-2022,13/ENE/2022,500,45,~11,"USD 8,906.58",Negativo,NINGUNO,500 km²,1,RESCATE EN ZONAS 'INUNDADAS' POR DESBORDE
852,2,28,25,Op Patrulla - 2021/146,31-jul-2021,07/08/2021,80,19,7 días,89985,concluida,5 det.,aprox. 1000,2 inc.,S/N
853,6,47,15,cooperación 2024,21/11/2024,12-07-2024,(50 efectivos),11,aprox. 16 días,14912.28,PARCIAL,-,20 km2,N/A,
854,2,28,24,Frontera—2022,2022/04/11,26-abr-2022,CIEN,aprox. 25,15,"Bs.118,185",sin dato,,  1000 km2  ,5 inc.,"Se detectó movimiento sospechoso
en zona limítrofe"
855,2,32,13,vigía 2024,28/ABR/2024,"mayo 15, 2024",aprox 80,aprox. 5 vehículos,  17  ,"40,056.54 Bs","Sí, exitosa",2 detenidos,200.0,5,"Coordinación con fuerzas
del país vecino"
856,5,22,3,Op Cortafuego - 2025/77,20250819,"septiembre 3, 2025",  500  ,15 vehículos,+15,142083.67,positivo,0,aprox. 100,aprox. 10,"Contención de incendio forestal
en zona protegida"
857,2,31,5,"Op. ""Protección"" #149",2023/04/28,"mayo 20, 2023",cien,~21,~22,113256,sin dato,1 det.,250 km²,cero,Patrullaje de rutina sin novedades
858,8,32,22,"Op. ""Cooperación Sur"" #43",2023-10-01,23/10/2023,aprox. 50,doce,22.,"Bs.- 159,537.26",FALLIDA,Sin detenidos,aprox. 1000 km²,,
859,6,13,12,Operación Unidad 2023,20230729,2023/07/30,(100 efectivos),10 vehículos,1,"Bs 32.434,82",Objetivo cumplido,ninguno,50,0,
860,3,39,4,Operación Barrera 2024-120,11/01/2024,2024-02-05,80,aprox 13,  25  ,Bs 140.305,Muy bueno,10 personas,  150 km2  ,dos,Mercadería retenida para verificación
861,1,44,2,Op. Justicia #170,03/02/2025,21-02-2025,150 efectivos,(28 vehículos),18,"Bs.123,095",SATISFACTORIO,2 personas,800 Km2,2,
862,2,41,22,Vigilancia—2024,20240507,2-jun-2024,~250,22,aprox. 26 días,Bs 118.739,INCOMPLETA,10,1000 km2,DOS,"SE DETECTÓ MOVIMIENTO SOSPECHOSO
EN ZONA LIMÍTROFE"
863,2,41,6,Operación Vigilancia 2025-151,21/MAY/2025,6-jun-2025,  50  ,+13,16.,"Bs.54,795",exitosa,5 personas,aprox. 150,DOS,Control de 'puntos ciegos' en la frontera
864,3,34,14,Control Total—2025,02-05-2025,02-19-2025,~250,aprox 9,aprox. 14 días,"Bs. 70,326.77",sin éxito,Sin detenidos,1000,aprox. 1,Coordinación con Aduana Nacional
865,2,32,21,Operación Protección 2025-152,04-10-2025,29/04/2025,300 efectivos,27,  19  ,"Bs.38,721",OBJETIVO CUMPLIDO,tres,500 KM2,n/a,Relevo de personal en posiciones avanzadas
866,1,48,8,Operación Amanecer 2025,30/05/2025,04/06/2025,aprox 80,  9  ,5,BS 141325,"Sí, exitosa",dos,200 KM2,cero,"  Se establecieron puntos de control
en rutas secundarias  "
867,4,11,17,Esperanza (junio 2024),2024-11-24,"diciembre 31, 2024",100 efectivos,  13  ,37,"Bs. 254,493.36",Sin resultados concretos,Ninguno,aprox. 500,3,Rescate en zonas 'inundadas' por desborde
868,6,29,24,Desarrollo (septiembre 2022),2022-05-02,20220503,80,  9  ,1,BS 25553,parcialmente logrado,-,50 km²,1,Apoyo en festividad 'patronal' del municipio
869,2,31,6,Vigilancia—2025,20250913,10-01-2025,~120,+14,dieciocho,79435,Pendiente de evaluación,2 detenidos,50 km2,Sin incidentes,
870,2,32,6,Op Frontera - 2025/154,20250215,2025-02-18,150,siete,3,125325,fallida,10,500,dos,"Coordinación con fuerzas
del país vecino"
871,4,12,22,Solidaridad—2023,18/01/2023,2023/01/21,150.,  25  ,aprox. 3 días,"Bs. 121,721.77",sin éxito,cero,5000 km²,dos,"Evacuación de familias afectadas
por crecida de ríos"
872,3,34,11,Op. Control Total #122,07-09-2023,2023-08-04,DOSCIENTOS,24,26,"Bs. 58,813.15",no reportado,cero,250 km2,3 inc.,Coordinación con Aduana Nacional
873,5,23,3,brasa 2025,2025-08-25,20250920,aprox 400,diecisiete,26,"Bs. 409,765.63",no reportado,0,  500 km2  ,5,"Contención de incendio forestal
en zona protegida"
874,2,25,12,  Soberanía 2023  ,05/04/2023,04-17-2023,150.,+30,12,64041,sin dato,10 personas,aprox. 1000,N/A,S/N
875,2,31,24,Vigilancia—2024,2024/02/10,2024-02-22,120 efectivos,aprox. 18,DOCE,"Bs. 70,273.75",por evaluar,3 personas,250 km²,3,Control de 'puntos ciegos' en la frontera
876,2,25,11,Operación 'Vigía',6-ago-2021,"agosto 30, 2021",aprox 80,aprox. 25 vehículos,~24,"Bs.- 106,162.22",Muy bueno,,~500 km²,ocho,"Ref. Op. 2021-11: Se detectó movimiento sospechoso
en zona limítrofe"
877,2,28,14,Operación Centinela 2024-158,07-25-2024,12/08/2024,aprox. 300,aprox 25,DIECIOCHO,119830.89,Favorable,-,100 km2,3,"Se detectó movimiento sospechoso
en zona limítrofe"
878,6,48,13,Op.Mano Amiga/2025,15-09-2025,10-07-2025,30.,(12 vehículos),22,"Bs 27.254,35",Logrado,ninguno,100 KM2,0 incidentes,"Jornada médica y dental
para comunidades rurales"
879,5,11,22,Op.Brasa/2025,31/OCT/2025,11-04-2025,200,28,CUATRO,"Bs. 239,266.02",Sin resultados concretos,sin detenidos,500 km²,UNO,Apoyo con cortafuegos — área afectada extensa
880,5,10,3,Op. Bombero #80,7/SEP/2024,15/10/2024,aprox 100,aprox 35,aprox 38,106577,negativo,,  100 km2  ,10,Apoyo con cortafuegos — área afectada extensa
881,4,25,14,Solidaridad—2025,2025/10/11,11-15-2025,aprox. 100 efectivos,aprox. 11 vehículos,~35,"$us 55,266.87",S/N,ninguno,aprox. 200,aprox. 5,Rescate en zonas 'inundadas' por desborde
882,8,50,6,Op.UNASUR/2022,2022-10-03,"octubre 16, 2022",DOSCIENTOS,38,13,25572,Éxito,cero,  50 km2  ,dos,Ejercicio multinacional — fuerzas de 4 países
883,1,50,16,Op. Tormenta #171,2021/08/10,20210906,300 efectivos,18 vehículos,aprox. 27,"117,475.41 Bs",Positivo,3 pers.,800 KM2,2,  Patrullaje con apoyo de unidades caninas  
884,6,8,11,Operación Comunidad 2022,2022-10-23,6/NOV/2022,n/a,8 vehículos,catorce,"USD 1,216.62",n/a,Ninguno,20 km²,ninguno,n/a
885,3,32,22,Op.Muralla/2023,2023-05-17,24/05/2023,,,,,,,,,
886,1,49,1,Operación 'Frontera Segura',19/ABR/2025,2025-04-27,(150 efectivos),25,8.,"Bs.78,409",aceptable,1 personas,  200 km2  ,  2  ,Resultado: 'aceptable' según informe final
887,3,30,4,Operación 'Muralla',28/01/2023,19/02/2023,aprox 100,  13  ,+22,"Bs 133.192,34",Completada,15 det.,200 km²,cero,Incautación de mercadería de contrabando
888,3,32,14,OPERACIÓN INTERCEPTOR 2022,29/08/2022,30/AGO/2022,aprox. 50,14,1.,124219,Bueno,aprox. 1,100 km2,2,Coordinación con Aduana Nacional
889,1,47,16,Libertad (noviembre 2025),29/06/2025,05/07/2025,~150,8,aprox. 6 días,29639 bolivianos,PARCIAL,10 personas,1000 Km2,sin incidentes,Patrullaje con apoyo de unidades caninas
890,2,34,20,Defensa (junio 2024),09-01-2024,10-09-2024,100.,aprox. 13,9 días,"Bs 95.757,62",inconclusa,Ninguno,aprox. 1000 km²,8 inc.,S/N
891,3,31,21,Operación Candado 2023,18/MAY/2023,20230522,cincuenta,aprox 23,4,Bs 143.737,S/N,  10  ,500 km2,tres,Mercadería retenida para verificación
892,2,31,14,Operación Frontera 2021-160,20210904,09-15-2021,100.,(22 vehículos),aprox. 11,"Bs 93.084,27",S/N,20 pers.,300 km2,3 incidentes,Relevo de personal en posiciones avanzadas
893,1,46,8,libertad 2021,17-mar-2021,2021/03/25,aprox. 120,29,aprox. 8 días,136757 bolivianos,N/A,dos,500,n/a,"Se establecieron puntos de control
en rutas secundarias"
894,3,39,4,Rastreo (marzo 2021),2021-07-04,23/07/2021,(50 efectivos),+16,(19 días),"Bs 48.071,89",Incompleta,3 detenidos,300,n/a,
895,6,34,25,Operación Alianza 2022,2022-07-14,2022-08-09,treinta,  8  ,aprox 26,"Bs 9.615,00",POSITIVO,Sin detenidos,100 km²,0,
896,2,34,21,Op. Control #161,11-10-2023,"octubre 19, 2023",~100,10.,8 días,"Bs 32.724,00",no reportado,8 personas,500,3 incidentes,
897,2,28,5,Operación Centinela 2025,03/05/2025,16/05/2025,~200,19.,trece,"34,505.92 Bs",EXITOSA,1 personas,200.0,(2),Relevo de personal en posiciones avanzadas
898,1,50,2,Frontera Segura (noviembre 2023),2023-03-24,08/04/2023,aprox 120,CINCO,  15  ,BS 116022,fallida,1,200 km2,2 incidentes,
899,2,41,24,Vigía—2022,6-sep-2022,05/10/2022,aprox. 50 efectivos,28,29,"Bs.144,217",S/N,1 det.,500 km²,1,Control de 'puntos ciegos' en la frontera
900,6,17,19,Operación 'Hermandad',20-abr-2024,2024/05/09,30,aprox. 2,~19,"$us 2,385.42",aceptable,N/A,10 Km2,N/A,"Jornada médica y dental
para comunidades rurales"
901,2,25,20,Op. Defensa #164,2021-08-04,"agosto 6, 2021",aprox. 120 efectivos,  22  ,2,82809.59,resultado positivo,5,aprox. 250,2,"Coordinación con fuerzas
del país vecino"
902,6,31,22,Hermandad (febrero 2023),12-16-2023,12-31-2023,aprox. 50 efectivos,6,15 días,5345,SATISFACTORIO,NINGUNO,50 Km2,cero,Construcción de camino vecinal
903,1,50,1,Operación 'Cóndor Dorado',2024/04/17,17/05/2024,150,17,  30  ,"$us 16,924.97",Logrado,uno,500 KM2,sin incidentes,Patrullaje con apoyo de unidades caninas
904,4,25,14,OPERACIÓN REFUGIO 2025,04/07/2025,08-05-2025,400.,aprox. 11,aprox. 32,"498,701.02 Bs",Regular,,200,dos,
905,8,46,6,fraternidad 2022,26-10-2022,2022-11-16,  200  ,13,21,"Bs.100,111",No reportado,Ninguno,100,SIN INCIDENTES,
906,8,50,9,Confluencia (abril 2025),2025-07-24,8/AGO/2025,CIEN,35,quince,70924.22,regular,cero,  1000 km2  ,2 inc.,OPERACIÓN CONJUNTA 'COOPERACIÓN SUR-SUR'
907,5,12,18,Op. Sofocación #81,"agosto 13, 2025",21/08/2025,aprox. 150 efectivos,10,8,411936 bolivianos,Aceptable,Sin detenidos,1000.0,5 incidentes,"Contención de incendio forestal
en zona protegida"
908,2,28,14,Op.Defensa/2025,2025/11/08,2025/12/05,250.,28,  27  ,"USD 14,426.06",,aprox. 2,1000 km2,3 incidentes,"  Se detectó movimiento sospechoso
en zona limítrofe  "
909,2,31,12,Op. Centinela #166,20211119,2021/12/16,aprox. 80 efectivos,24 vehículos,27,44551.21,regular,aprox. 2,aprox. 1000,UNO,
910,1,50,16,"Op. ""Águila"" #177",29/MAY/2025,03-06-2025,300.,+21,~5,75821,resultado positivo,Sin detenidos,50 km2,2 incidentes,"Se establecieron puntos de control
en rutas secundarias"
911,4,23,14,Op Refugio - 2024/114,06-04-2024,04-15-2024,aprox. 150 efectivos,aprox. 18,aprox. 9,"USD 10,706.18",SIN RESULTADOS,N/A,100 km2,aprox. 10,
912,2,32,5,Op. Defensa #167,08/02/2024,03-03-2024,50.,aprox. 6 vehículos,aprox 24,"Bs 32.245,88",Parcialmente exitosa,aprox. 5,200 km2,Sin incidentes,"Coordinación con fuerzas
del país vecino"
913,7,24,16,Sajama—2025,05-14-2025,2025/06/10,aprox. 200 efectivos,  18  ,27 días,134096,En proceso,n/a,~50 km²,1,"Maniobras de simulación
de combate en terreno montañoso"
914,8,32,9,Operación 'Cruz del Sur',12-12-2022,12-31-2022,aprox. 100,25,19,"$us 19,129.67",Satisfactorio,N/A,aprox. 100,n/a,"Intercambio de
experiencias con ejército vecino"
915,1,45,16,Op.Dragón/2024,"mayo 1, 2024",24/05/2024,+150,15,aprox. 23,"$us 14,850.98",Objetivo cumplido,veinte,~50 km²,2 incidentes,Decomiso de sustancias controladas en zona operativa
916,4,11,17,Op. Emergencia #115,25/DIC/2022,31-12-2022,~400,32,aprox. 6,"310,820.66 Bs",completada,sin detenidos,5000 km²,,Rescate en zonas 'inundadas' por desborde
917,4,13,22,  Refugio 2023  ,24-03-2023,04-10-2023,100,38,17 días,BS 317064,FALLIDA,Ninguno,2000 km2,3 incidentes,"Puentes temporales instalados
por ingeniería militar"
918,2,32,23,Operación 'Control',30/11/2022,2022/12/13,  150  ,aprox. 29 vehículos,13.,66290,,3 det.,500 km2,,Patrullaje de rutina sin novedades
919,2,31,4,  Centinela 2023  ,15-sep-2023,"octubre 13, 2023",,,,,,,,,
920,4,12,7,Operación Esperanza 2022-117,08-01-2022,"febrero 18, 2022",300,37 vehículos,41,Bs 175.560,parcial,Sin detenidos,500,TRES,Sin Dato
921,3,31,21,Op. Muralla #127,2021-11-10,20-nov-2021,+100,(6 vehículos),10,"$us 6,620.89",Parcialmente exitosa,8 det.,300 Km2,1 inc.,Operativo en 'ruta del contrabando'
922,1,47,8,Op Amanecer - 2023/179,28-may-2023,20/06/2023,120,diez,23,52737,Parcialmente exitosa,5,1000 Km2,5,Ref. Op. 2023-8: Patrullaje con apoyo de unidades caninas
923,3,32,14,filtro 2024,28-02-2024,2024/03/20,80.,29,aprox. 21 días,"Bs.- 93,246.45",COMPLETADA,0 personas,  800 km2  ,  5  ,Operativo en 'ruta del contrabando'
924,1,50,16,Operación Justicia 2021,09/04/2021,23/04/2021,+150,  27  ,aprox 14,"USD 12,294.05",sin éxito,3 detenidos,150.0,(2),"Zona de difícil acceso, se requirió apoyo aéreo"
925,4,22,22,  Amparo 2024  ,2024/01/18,20240207,150 efectivos,+14,VEINTE,Bs 209.071,Muy bueno,sin detenidos,aprox. 100,1,"Evacuación de familias afectadas
por crecida de ríos"
926,1,47,8,Operación Escudo 2021,02-22-2021,18/03/2021,~200,~12,(24 días),"60,471.78 Bs",Positivo,15 personas,50 km²,dos,
927,1,46,1,Operación 'Dragón',"febrero 13, 2023",2023/02/24,aprox 250,aprox 20,11.,BS 49578,N/A,20 personas,300 Km2,n/a,
928,3,30,23,Operación Muralla 2025,20251229,"diciembre 31, 2025",aprox. 100,28.,(2 días),"Bs.- 98,131.72",FAVORABLE,1 detenidos,aprox. 150,2 inc.,  Operativo en 'ruta del contrabando'  
929,3,41,4,OPERACIÓN RASTREO 2024,20/09/2024,10-19-2024,  100  ,(22 vehículos),29,20376,resultado positivo,,200,-,"Decomiso de
vehículos sin documentación"
930,1,48,2,Op. Águila #183,04-11-2023,07/05/2023,+120,aprox. 24,26,"101,169.67 Bs",Positivo,2,100,2,"Zona de difícil acceso, se requirió apoyo aéreo"
931,3,31,4,Operación 'Filtro',12-15-2024,2024-12-18,120 efectivos,17 vehículos,3,16725,exitoso,8,250 km²,(1),Mercadería retenida para verificación
932,2,25,24,Operación Centinela 2021,2-jun-2021,05/06/2021,~50,  5  ,aprox. 3,134573,positivo,8 personas,150 km2,cero,
933,1,47,2,Operación 'Amanecer',01-10-2025,30/ENE/2025,120 efectivos,aprox. 26,aprox. 20 días,"Bs.- 124,129.19",en curso,aprox. 2,200.0,1,"Se establecieron puntos de control
en rutas secundarias"
934,3,41,14,Operación Control Total 2021-132,"noviembre 22, 2021",25-11-2021,  150  ,8 vehículos,(3 días),"Bs 95.221,32",bueno,2,100,DOS,Operativo en 'ruta del contrabando'
935,7,49,16,Operación 'Altiplano',13/12/2022,14-dic-2022,100,(30 vehículos),1,Bs 125.918,Sin resultados concretos,sin detenidos,50.0,2,"Maniobras de simulación
de combate en terreno montañoso"
936,4,10,17,Operación Amparo 2021-119,04/11/2021,11-23-2021,150,27,diecinueve,Bs 65.857,Operación concluida,N/A,5000.0,3 incidentes,"Coordinación con Defensa Civil
y municipios afectados"
937,3,39,11,Operación 'Interceptor',07-01-2021,28/07/2021,(80 efectivos),aprox 15,27.,24250,Exitoso,15 pers.,50 KM2,  1  ,Incautación de mercadería de contrabando
938,3,40,12,Operación Rastreo 2023,15-feb-2023,2023/02/28,aprox. 250,DIECINUEVE,aprox. 13,"Bs 22.563,41",EXITOSA,2 personas,aprox. 300,sin incidentes,"DECOMISO DE
VEHÍCULOS SIN DOCUMENTACIÓN"
939,2,28,25,Op.Control/2022,27-jun-2022,30-06-2022,(250 efectivos),(28 vehículos),  3  ,"132,797.56 Bs",favorable,0 personas,100 km²,ninguno,Control de 'puntos ciegos' en la frontera
940,5,10,18,Operación 'Brasa',20210914,19/10/2021,cien,45,aprox. 35 días,385209,concluida,cero,aprox. 5000 km²,5 incidentes,
941,7,23,1,Op. Jaguar #96,20210104,2021-02-02,TRESCIENTOS,~36,29 días,"Bs 85.510,75",Muy bueno,0,~200 km²,0 incidentes,
942,4,25,14,Operación Protección Civil 2025,"agosto 27, 2025",07-10-2025,~150,  38  ,~41,"Bs. 400,108.44",-,,100,aprox. 5,"Evacuación de familias afectadas
por crecida de ríos"
943,6,1,9,"Op. ""Progreso"" #80",28/AGO/2021,2021/09/19,100,aprox 7,(22 días),"Bs.- 11,694.19",FAVORABLE,Sin detenidos,10,0 incidentes,Construcción de camino vecinal
944,6,47,6,Operación Mano Amiga 2022-81,20220906,15/SEP/2022,+80,+10,aprox. 9 días,BS 7602,Parcialmente exitosa,,20 KM2,Ninguno,
945,4,12,22,Operación Alivio 2024,02-03-2024,14-abr-2024,(300 efectivos),  19  ,  43  ,BS 58556,sin dato,0 personas,~200 km²,2,"Evacuación de familias afectadas
por crecida de ríos"
946,3,39,4,Op. Barrera #135,09/02/2021,20210304,(80 efectivos),aprox. 17,23,Bs 133.875,Éxito,5 pers.,200 km2,cinco,"Decomiso de
vehículos sin documentación"
947,7,1,20,Op Wiphala - 2025/97,26-12-2025,2025/12/31,cincuenta,+23,5 días,"Bs.115,478",INCOMPLETA,-,  100 km2  ,sin incidentes,Entrenamiento de supervivencia en selva
948,6,2,18,OPERACIÓN UNIDAD 2025,03-24-2025,10/04/2025,CINCUENTA,12,DIECISIETE,Bs 10.773,Satisfactorio,0,aprox. 50,0,
949,4,22,7,Op.Refugio/2025,20250126,26-02-2025,~500,21 vehículos,aprox. 31 días,154577,satisfactorio,,2000,3,"Puentes temporales instalados
por ingeniería militar"
950,7,17,2,Op Wiphala - 2021/98,10-06-2021,20211015,200,16 vehículos,+9,"USD 22,811.13",Regular,sin detenidos,aprox. 500,1,
